,Author,Title,Quote
225,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Support generative culture.
226,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Encourage and support learning.
227,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Support And facilitate collaboration among teams.
228,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Provide resources and tools to make work meaningful.
229,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Support/body transformational leadership.
230,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,High performers are twice as likely to exceed organizational performance goals and non-commercial performance goals as low-performance teams. 
231,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Four measures of software delivery performance:
232,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Deployment frequency
233,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Meantime to restart
234,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Lead time
235,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Change failure percentage
236,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,No trade-offs between improving performance and achieving higher levels of tempo.
237,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Deployment frequency is highly correlated with version control comprehensive use and continuous deployment.
238,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Lead time is highly correlated with version control and automated testing.
239,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,High performers have the shortest integration times. Branch life less than one day.
240,Jerry Z. Muller,The tyranny of Metrics,"Maybe one of the biggest reasons why the US has the most expensive healthcare system in the world is due to obesity, poverty and an extremely good ability to capture diseases and start treatment."
241,Jerry Z. Muller,The tyranny of Metrics,"Post hoc ergo propter hoc: After this, therefore because of this. It is a fallacy for assuming causality from correlation. "
242,Jerry Z. Muller,The tyranny of Metrics,"Checklist for metrics:
What kind of information will you measure. What is its distribution?
How are used for this information? It's what you are measuring a proxy for what do you want to know?
How useful are the metrics? Measured performance to detect outliers.
What is the cost of not relying on standard measurement.
To whom will you make information available.

"
243,Jerry Z. Muller,The tyranny of Metrics,What kind of information will you measure. What is its distribution?
244,Jerry Z. Muller,The tyranny of Metrics,How are used for this information? It's what you are measuring a proxy for what do you want to know?
245,Jerry Z. Muller,The tyranny of Metrics,How useful are the metrics? Measured performance to detect outliers.
246,Jerry Z. Muller,The tyranny of Metrics,What is the cost of not relying on standard measurement.
247,Jerry Z. Muller,The tyranny of Metrics,To whom will you make information available.
248,Aage Storm Borchgrevink,Giganten,A.P. Møller Maersk sikret seg på 1960 tallet en retten til utvinning av hydrokarboner på dansk sokkel. Angivelig var statsråden som signerte avtalen full.
249,Aage Storm Borchgrevink,Giganten,"Oljeselskapenes 7 søstre: BP, Shell, Mobil, Chevron, Exxon, Texaco, Gulf Oil (Senere Chevron). "
250,Aage Storm Borchgrevink,Giganten,"Polemisere: Er å drive polemikk, å argumentere sterkt imot noe."
251,Aage Storm Borchgrevink,Giganten,"Brent: Navnet på et oljefelt, fordi britene kalte oljefeltene sine opp etter fugler (Brent Goose). Brent blend er standard betegnelsen på nordsjøolje. "
252,Aage Storm Borchgrevink,Giganten,Hjemme-brent: Norsk nordsjøolje
253,Aage Storm Borchgrevink,Giganten,Phantom-wanker: En person som runket på soverrommene til roughnecks på riggene og kom på hodeputene. 
254,Aage Storm Borchgrevink,Giganten,Arakisk: Oksygenfattig
255,Aage Storm Borchgrevink,Giganten,"""Å samarbeide med Statoil er som å gå til sengs med en elefant"" - CEO of Mobil"
256,Aage Storm Borchgrevink,Giganten,Condeep: Concrete deep water structure
257,Aage Storm Borchgrevink,Giganten,"""Vi later som vi jobber, og de later som de betaler oss"" - Sovjetisk Vits"
258,Aage Storm Borchgrevink,Giganten,"""Kapitalistene vil selge oss repet vi skal henge dem med."" Vladmir Ilyich Lenin"
259,Aage Storm Borchgrevink,Giganten,"Den som gikk ut mot Statoil, risikerte å bli omringet av selskapets venner i media og distriktene, og få landets eneste rikskringkaster på nakken."
260,Aage Storm Borchgrevink,Giganten,Byråkratene i olje- og energi departementet mislikte at Arve Johnsen oppførte seg som en halvgud.
261,Aage Storm Borchgrevink,Giganten,"""Denne var dom itte heldig med"" - Oddvar Nordli om Maotai, tradisjonell kinesisk brennevin. "
262,Aage Storm Borchgrevink,Giganten,"""At de beste tingene i livet er gratis, er et idiotisk uttrykk som er ment å berolige dem som ikke har penger."" - Alexis i Dynastiet"
263,Aage Storm Borchgrevink,Giganten,"Industrikomiteen på Stortinget, kalt Parkveiens venner, Norvik holdt leiligheten, Due spriten og Kristiansen politikken."
264,Aage Storm Borchgrevink,Giganten,Flerfase teknologi: Teknologi som angår transporten av forskjellige fluider i rør. Tenk olje/gass/vann/slag.
265,Aage Storm Borchgrevink,Giganten,Statoil dro Thor Heyerdahl med til Aserbajdsjan for å smøre diktatoren der. Han sa ja og tilføyde at Aserbajdsjan er et jævla spennende land. Notat: Heyerdahls teorier som fremkalte latter akademia.
266,Aage Storm Borchgrevink,Giganten,"Statoils nasjonale profil under Norvik. De viktige sakene, de riktige mediene."
267,Aage Storm Borchgrevink,Giganten,I tenåra hadde Stoltenberg hatt falsk id kort for å kjøpe øl der han lød navnet Hubert Stoltenberg.
268,Aage Storm Borchgrevink,Giganten,"Hvis økonomisk historie har en sentral lærdom, er det å ikke stole på ekspertene."
269,Aage Storm Borchgrevink,Giganten,"""Russland hadde gått fra å være det onde imperiet til å bli en ond bananrepublikk som importerte bananer fra Finland."" - Victor Pelevins, forfatter"
270,Aage Storm Borchgrevink,Giganten,"""Norges handelshøyskole er ikke perfekt men jeg elsker denne skolens mangler og svulstighet. Enkelte så det er bare galt av sted. Eg var en av dei."" Selleresi i TV serien Mammon. "
271,Aage Storm Borchgrevink,Giganten,Statoil var interessert i å få til en avtale i Iran som kunne tåle en forside i DN.
272,Aage Storm Borchgrevink,Giganten,"En Mong / En Lødd  (Av Mongstad og Løddesøl, leder av den norske kredittbank som tapte 1.5 milliarder kroner under bankkrisen på 90 tallet.): En fantastisk mengde penger så forsvinner mellom hendene på ambisiøse næringslivsledere."
273,Aage Storm Borchgrevink,Giganten,Første bruk av nordmenn og Norge (Novegr) var på 800 tallet protokollene til kong Alfred den Store av Wessex.
274,Aage Storm Borchgrevink,Giganten,I Angola forsvant 250 milliarder av skatteinntekter fra olje-næringen til korrupte statsmann.
275,Aage Storm Borchgrevink,Giganten,"Hummer og Kanari : Uttrykk fra jobbetiden under første verdenskrig, der mange ble nyrike på shipping. Disse ville gjerne vise sin nye rikdom, og bestilte gjerne hummer og dessertvin fra Kanariøyene (Kalt Kanari blant kjennerne). Salt hummer og søte dessertviner passer særdeles dårlig sammen, men var av underordnet viktighet siden disse tingene var de dyreste valgene på menyen. "
276,James Clear,Atomic Habits,"""To write a great book, at first you must become the book."" - Naval Ravikant, investor"
277,James Clear,Atomic Habits,Aggregation of marginal gains: Philosophy of searching for improvement even time in margins in everything you do.
278,James Clear,Atomic Habits,Cancer spends about 80% of its life undetected and then takes over the body in months.
279,James Clear,Atomic Habits,Plateau of latent potential: Something you need to break through in order to see your results.
280,James Clear,Atomic Habits,"Goals are about the results you want to achieve, systems are about processes that lead to those results."
281,James Clear,Atomic Habits,"""The score takes care of itself."" - Bill Walsh American Football coach"
282,James Clear,Atomic Habits,"Problems of goals: 
Winners and losers have the same goals.
Achieving a goal is only a momentary change.
Goals restrict your happiness.
Goals are at odds with long-term progress.

"
283,James Clear,Atomic Habits,Winners and losers have the same goals.
284,James Clear,Atomic Habits,Achieving a goal is only a momentary change.
285,James Clear,Atomic Habits,Goals restrict your happiness.
286,James Clear,Atomic Habits,Goals are at odds with long-term progress.
287,James Clear,Atomic Habits,Habits are the compound interest of self-improvement.
288,James Clear,Atomic Habits,Atomic Habits is a little habit that is part of a larger system.
289,James Clear,Atomic Habits,"Changing our habits is difficult for two reasons:
. We tried to change the wrong thing.
Changing our habits is difficult for two reasons:
We tried to change the wrong thing.
We try to change our habits the wrong way.

"
290,James Clear,Atomic Habits,We tried to change the wrong thing.
291,James Clear,Atomic Habits,We try to change our habits the wrong way.
292,James Clear,Atomic Habits,The goal is not to read the book the goal is to become a reader. The goal is not to run a marathon the goal is to become a runner. The goal is not to learn an instrument the goal is to become a musician.
293,James Clear,Atomic Habits,Nonconscious: Anything you're not consciously thinking about.
294,James Clear,Atomic Habits,"Focus: 
Decide what type of person you want to be.
Prove it to yourself with small wins.

"
295,James Clear,Atomic Habits,Decide what type of person you want to be.
296,James Clear,Atomic Habits,Prove it to yourself with small wins.
297,James Clear,Atomic Habits,Focus on who you want to become not what do you want to achieve!
298,James Clear,Atomic Habits,Behaviors followed by satisfying consequences tend to repeat.
299,James Clear,Atomic Habits,Dichotomy: A division or contest between two things.
300,James Clear,Atomic Habits,Pointing and calling: Safety system designed to identify critical objects in the meeting them on their status.
301,James Clear,Atomic Habits,"""Until you make the unconscious conscious, it will direct you and you will call it fate."" -Carl Young"
302,James Clear,Atomic Habits,"Uncategorized habits, ask if it contributes to you reaching your decided state."
303,James Clear,Atomic Habits,Diderot effect: Obtaining a new possession often creates a spiral of consumption that leads to additional purchases.
304,James Clear,Atomic Habits,"Habit stacking: After the current habit I will new habit.
After a cup of coffee, I will meditate.
After I meditate, I will write a to-do list."
305,James Clear,Atomic Habits,45% of Coca-Cola sales came from the end of aisle rack sales.
306,James Clear,Atomic Habits,"Every habit is initiated by a cue, and we are more likely to notice cues that stand out."
307,James Clear,Atomic Habits,"If you want to practice guitar more often,  place it in the middle of the living room."
308,James Clear,Atomic Habits,"If you want to drink more water, fill up a few bottles and place them in common locations around the house."
309,James Clear,Atomic Habits,"Create separate spaces for different tasks ""one space - one use!"""
310,James Clear,Atomic Habits,"If you are not careful about cues, you can cause the very behavior you want to stop. You can break a habit, but you are likely to forget it."
311,James Clear,Atomic Habits,"People with high self-control tend to spend less time in tempting situations. It is easier to avoid than resist temptation. Self-control is a short term strategy, not a long term one parent"
312,James Clear,Atomic Habits,Supernormal Stimuli:  Heightened version of reality that elicits a stronger response than usual.
313,James Clear,Atomic Habits,"The more attractive an opportunity is, the more likely it is to become habit-forming."
314,James Clear,Atomic Habits,"The goal is to transform every habit into supernormal stimuli, although not practically possible."
315,James Clear,Atomic Habits,We need to make habits attractive because it is the expectation of a rewarding experience that motivates us to act in the first place.
316,James Clear,Atomic Habits,Ronin Farm hacked his PC so that it would only play Netflix if the stationary bike was producing power.
317,James Clear,Atomic Habits,Temptation bundling: Linking an action you want to do with an action you need to do.
318,James Clear,Atomic Habits,"Premack's principle: ""The more probable behaviors will reinforce less probable behaviors."
319,James Clear,Atomic Habits,Habits are all about associations. These associations determine whether we predict the habit to be worth repeating or not.
320,James Clear,Atomic Habits,"""it is a motion that allows us to mark something as good, bad, indifferent"" - Antonio Dumasio, a neuroscientist."
321,James Clear,Atomic Habits,Create a motivational ritual by doing something you enjoy immediately before a difficult habit.
322,James Clear,Atomic Habits,"Long-term potentiation: strengthening of connections between neurons in the brain based on the recent past tense of connectivity.
-Hebb´s law: ""Neurons that fire together, wire together"""
323,James Clear,Atomic Habits,"Law of least effort: When deciding between two similar options, people will naturally gravitate towards the option that requires the least amount of effort."
324,James Clear,Atomic Habits,"The less energy a habbit requires, the easier it will occur."
325,James Clear,Atomic Habits,The idea is to create an environment where doing the right thing is as easy as possible. Much of the battle comes down to finding ways to reduce friction associated with our good habits and increase friction associated with our bad ones.
326,James Clear,Atomic Habits,Prime your environment to enforce good habits. Prepare in advance to make future actions easier.
327,James Clear,Atomic Habits,"The two-minute rule: When you start a new habit, it should take less than two minutes to do! 
Run 10 km, becomes tie my running shoes.
Studying for class becomes open my notes."
328,James Clear,Atomic Habits,The point is to master the habit of showing up. The habit must be established before it can be improved.
329,James Clear,Atomic Habits,"The more you ritualize the beginning of a process, the more likely it is that you can sleep into the state of deep focus that is required to do great things."
330,James Clear,Atomic Habits,"Victor Hugo, in order to finish his next book, asked his servants to lock away all his clothes suitable to go outdoors. He then remain in yesterday and finished his work within the deadline; The hunchback of Notre Dame"
331,James Clear,Atomic Habits,Sometimes success is less about making good habits easy and more about making bad habits hard.
332,James Clear,Atomic Habits,Commitment device: A choice you make and the person that controls your actions in the future. This is also called the Ulysses pact or Ulysses contract.
333,James Clear,Atomic Habits,The key is to change the task so that it requires more work to get out of the good habit than to get started on it.
334,James Clear,Atomic Habits,The best way to get rid of a bad habit is to make it impractical to do.
335,James Clear,Atomic Habits,"Civilization advances by extending the number of operations we can perform without thinking of them, i.e. Technology."
336,James Clear,Atomic Habits,Time inconsistency: The way your brain evaluates rewards is inconsistent across time (also called hyperbolic discounting). 
337,James Clear,Atomic Habits,"Questions to narrow down/in on habits:
What feels fun to me, but work to others.
What makes me lose track of time.
Where do I get great returns to the average.
What comes naturally to me.

"
338,James Clear,Atomic Habits,"What feels fun to me, but work to others."
339,James Clear,Atomic Habits,What makes me lose track of time.
340,James Clear,Atomic Habits,Where do I get great returns to the average.
341,James Clear,Atomic Habits,What comes naturally to me.
342,James Clear,Atomic Habits,"""Everyone has at least a few areas in which they could be in the top 25% with some effort."" -Scott Adams, cartoonist Dilbert"
343,James Clear,Atomic Habits,"""Men desire novelty to such an extent that those two are doing well with us for a change as much as those who are doing badly."" - Machiavelli"
344,James Clear,Atomic Habits,Goldilocks rule: Humans experience peak motivation when working on tasks that are right on the edge of their current abilities.
345,James Clear,Atomic Habits,Variable reward: Varying the reward increases behavior. Use variable rewards to amplify a craving.
346,James Clear,Atomic Habits,"Professionals stick to a schedule, amateur lets life get in the way."
347,James Clear,Atomic Habits,The greatest threat to success is not failure but boredom. 
348,James Clear,Atomic Habits,Sorites paradox: One small action can have a profound effect on repeated enough times.
349,James Clear,Atomic Habits,"""Being poor is not having too little, it is one thing more. "" -Seneca"
350,Cal Newport,So Good they can´t ignore you,Passion Hypothesis: The key to occupational happiness is to first figure out what you're passionate about and then find a job that maintains that passion.
351,Cal Newport,So Good they can´t ignore you,Compelling characters often have complex origins. Reject the simple idea that all you have to do is follow your passion.
352,Cal Newport,So Good they can´t ignore you,A job: Away to pay the bills. A calling: Work is an important part of your life and a vital part of your identity. A career: a path towards better work
353,Cal Newport,So Good they can´t ignore you,Dilletante: Personal practices art or science for their amusement.
354,David Blight,Civil War of US and Reconstruction,Burkean conservatism: The world order is set and not for men to tinker with.
355,David Blight,Civil War of US and Reconstruction,Traditionalist conservatism: The world is just the way it is and we shouldn't change it.
356,David Blight,Civil War of US and Reconstruction,Can you read the Bible and her both arguments for and against slavery.
357,David Blight,Civil War of US and Reconstruction,Slavery persistent because there was a massive economic incentive for Southern elite to continue slavery. It was so damn profitable. 
358,David Blight,Civil War of US and Reconstruction,Chutzpa: extreme self-confidence in Yiddish
359,David Blight,Civil War of US and Reconstruction,"Four major reform areas in American history
American revolution
Antenox
Temperance and the Great Depression
Vietnam and the civil rights movement. 

"
360,David Blight,Civil War of US and Reconstruction,American revolution
361,David Blight,Civil War of US and Reconstruction,Antenox
362,David Blight,Civil War of US and Reconstruction,Temperance and the Great Depression
363,David Blight,Civil War of US and Reconstruction,Vietnam and the civil rights movement. 
364,David Blight,Civil War of US and Reconstruction,"Abolitionists were at the most, never more than 15% of the population of the northern states."
365,David Blight,Civil War of US and Reconstruction,The American contradiction: The largest slave state in the world built on the first thriving republic.
366,Mark Miodownik,Stuff Matters,Thermal paper: Paper with encapsulated ink that requires heat which causes the ink and acid to react and form a dark pigment. 
367,Mark Miodownik,Stuff Matters,Fermi paradox: The vast number of stars and planets in the universe provides abundant opportunities for intelligent life to form. While I was there no evidence of that being true.
368,Mark Miodownik,Stuff Matters,Janus particle:  What makes electronic papers work.
369,Mark Miodownik,Stuff Matters,Ephermal: Lasting only a short day/time.
370,Mark Miodownik,Stuff Matters,"Concrete doesn´t dry, it is reacting with water."
371,Mark Miodownik,Stuff Matters,"Make concrete, aluminum and iron-rich rocks are the magic ingredients."
372,Mark Miodownik,Stuff Matters,"Concrete is cement mixed with small stones, or pebbles, which play the role of tiny bricks. "
373,Mark Miodownik,Stuff Matters,Mixing relationship of concrete and water is extremely important.
374,Mark Miodownik,Stuff Matters,"Joseph Mourier, a Parisian Gardner invented reinforced concrete to make extra pots."
375,Mark Miodownik,Stuff Matters,"Pollo con molar: chicken in cocoa, a Mexican dish."
376,Mark Miodownik,Stuff Matters,"Maillard reaction: When applied with heat, carbohydrates (sugars) and proteins form bonds that create delicious tastes."
377,Mark Miodownik,Stuff Matters,Theobromine Is Sam psychoactive ingredient in chocolate that is poisonous to dogs.
378,Mark Miodownik,Stuff Matters,Chocolate shall be put at room temperature 20°C is it then will melt in the mouth.
379,Mark Miodownik,Stuff Matters,"Linnean name for chocolate is theobroma, which means food of the gods!"
380,Mark Miodownik,Stuff Matters,"The sky is blue because light hits nitrogen and oxygen molecules and scatters off of them. If all lights were scattered equally, the sky would be white. However, shorter wavelength light is more likely to be scattered than long-wavelength particles, so that's the reason why the sky is blue. This is called a Raleigh effect."
381,Mark Miodownik,Stuff Matters,The definition of temperature is how much vibrations the atoms are doing.
382,Mark Miodownik,Stuff Matters,"Billiard was invented in 1600s Europe, similar to Crockett. The plane of the pool table is covered green to represent grass."
383,Mark Miodownik,Stuff Matters,What song is almost pure quartz.
384,Mark Miodownik,Stuff Matters,"I found a time is the size of a stadium, then the nucleus would be the size of a pea in the center of the stadium. And an electron will be the size of a grain of sand in the stands."
385,Mark Miodownik,Stuff Matters,Glass is transparent because the energy of visible light is not high enough for the electrons in the glass to absorb the light. This is due to quantum mechanics. Higher energy lights such as UV radiation are not able to pass through glass. You cannot get a tan or sunburn through glass.
386,Mark Miodownik,Stuff Matters,Pyrex is glass mixed with boron dioxide.
387,Mark Miodownik,Stuff Matters,"In Bohemia (Czech Republic) in 1840, A new method of mass-producing glassware was invented. The result was that people could drink beer from glasses. Not surprisingly, people did not take pleasure in seeing the dark brown bear color. So naturally not 10 years later and your beer was invented in there by Pilsen. "
388,Mark Miodownik,Stuff Matters,"According to the UK government, more than 5000 people are touched with class and bottles every year, costing an estimated £2 billion to surgically repair the injuries."
389,Mark Miodownik,Stuff Matters,The biggest 'natural' diamond ever found was extracted from the Callion mine in 1907 and was the size of a football.
390,Mark Miodownik,Stuff Matters,Diamond derives from Greek 'Adamas' meaning unalterable or unbreakable
391,Mark Miodownik,Stuff Matters,De Beers controlled 90% of the world's diamond production in 1902.
392,Mark Miodownik,Stuff Matters,Graphite is soft because of its weak van der Waals forces.
393,Mark Miodownik,Stuff Matters,Sapphires are aluminum oxide with ion impurities and rubies are aluminum oxide with chromium impurities
394,Mark Miodownik,Stuff Matters,Bessemer process: the process of making cheap steel.
395,Mark Miodownik,Stuff Matters,Gillette (King Camp first name) used the Bessemer process to create disposable razors.
396,Mark Miodownik,Stuff Matters,"Stainless steel was created by accident, Harry Brearly discovered a steel chromium aloe that lay in a rusted pile in great condition. Chromium oxide sticks really well to the steel and creates a protective layer."
397,Mark Miodownik,Stuff Matters,Paper turns yellow as the lignin reacts with oxygen.
398,Mark Miodownik,Stuff Matters,Graphite was mistaken for lead and was called plumbago or black lead hence the name lead pencil. 
399,Mark Miodownik,Stuff Matters,"Diamonds do not conduct electricity because of atomic structure, there are no electrons free to move and conduct electricity."
400,Mark Miodownik,Stuff Matters,The hardest material known to man is called lonsdaleite.
401,Mark Miodownik,Stuff Matters,Carbon nanotubes have the highest strength-to-weight ratio in the world.
402,Mark Miodownik,Stuff Matters,"Graphene is a single layer of graphite that has extraordinary capabilities.  It's the thinnest, stiffest, strongest material in the world and conducts heat faster and carries electricity faster and with less resistance."
403,Mark Miodownik,Stuff Matters,Ceramics are impervious to UV degradation or chemical attacks. 
404,Mark Miodownik,Stuff Matters,Aging is the natural entropy of the body. 
405,Mark Miodownik,Stuff Matters,"Eight elements make up 98.8% of the mass of the earth. Iron, oxygen, silicon, magnesium, sulfur, nickel, calcium and aluminum."
406,James Gleick,Chaos,Classic physics can be seen as mankind's trivial attempt at fitting the universe to our primitive monkey brain.
407,James Gleick,Chaos,Topology is geometry on rubber sheets.
408,James Gleick,Chaos,Chaos and instability are not the same things. Chaos is globally stable but locally unstable.
409,James Gleick,Chaos,Birfurcation: point or area where something divides into two branches or parts.
410,Andrew Ross Sorkin,Too Big to Fail,Affability: Friendly and good-natured mannered.
411,Andrew Ross Sorkin,Too Big to Fail,Obfuscating: Obscuring of the intended meaning of communication by being difficult to understand.
412,Andrew Ross Sorkin,Too Big to Fail,"""For the last several weeks, Lehman has complained about short-sellers. Academic research and our experience indicate that when management teams do that, there is a sign that the management teams are attempting to distract investors from serious problems."" David Einhorn, Investor"
413,Eric Ries,The Lean Startup,"Lean thinking is radically altering the way supply chains and production systems are run. Its tenants are :
Drawing of knowledge and creativity of individual workers.
Shrinking batch sizes.
Just-in-time production and inventory control.
Acceleration of cycle times.

"
414,Eric Ries,The Lean Startup,Drawing of knowledge and creativity of individual workers.
415,Eric Ries,The Lean Startup,Shrinking batch sizes.
416,Eric Ries,The Lean Startup,Just-in-time production and inventory control.
417,Eric Ries,The Lean Startup,Acceleration of cycle times.
418,Eric Ries,The Lean Startup,Metcalfe´s law: The value of the networks is proportional to the square of the number of participants.
419,Eric Ries,The Lean Startup,"Lean thinking defines value as providing benefits to the customer, everything else is wasted."
420,Eric Ries,The Lean Startup,"The irony of venture capital is But it is often easier to raise money when you have zero revenue, zero customers and zero traction, rather than a small amount of those things."
421,Eric Ries,The Lean Startup,"Success is not delivering a feature, success is learning how to solve the customer's problem."
422,Eric Ries,The Lean Startup,"The 3 A´s of metrics:
Actionable: Clearcut and effect.
Accessible: Needs to be simple.
Auditable: As close to the real world as possible.

"
423,Eric Ries,The Lean Startup,Actionable: Clearcut and effect.
424,Eric Ries,The Lean Startup,Accessible: Needs to be simple.
425,Eric Ries,The Lean Startup,Auditable: As close to the real world as possible.
426,Eric Ries,The Lean Startup,"""Metrics are people too"" - Common saying"
427,Michael Lewis,The Big Short,Wall Street liked immigrant mortgages because they had good (but short) FICO scores. No  defaults when there were no loans.
428,Michael Lewis,The Big Short,Rating agencies analysts weren´t allowed to downgrade mortgages without their bosses' approval.
429,Michael Lewis,The Big Short,"To win in financial markets, you either expose flaws in the system, or you go on a lucky run. "
430,Michael Lewis,The Big Short,"Thornwal Capital hired a statistics Ph.D. from Berkely but he quit after they asked him to analyze the pork belly market. He was a vegetarian and against capitalism, the pork thing pushed him over the edge."
431,Michael Lewis,The Big Short,Potemkin village effect: Impressive facade designed to hide undesirable facts or conditions.
432,Tim Harford,The Logic of Life,Amateurs/rookies are more inclined to endowment syndrome than more experienced actors.
433,Tim Harford,The Logic of Life,"Griffen goods: A good that is such a necessity that's a price increase, in turn, increases demand. Potatoes, rice, wheat are examples of Griffen goods."
434,Tim Harford,The Logic of Life,John von Neuman created the game theory field to mathematize the world of poker.
435,Tim Harford,The Logic of Life,Addiction is rational. People calculate that the pleasure of the stimulant old weights the pain.
436,Tim Harford,The Logic of Life,"Addictive goods are more affected by price increases the non-addictive. Addicts must eliminate habit entirely, but light users can cut back somewhat."
437,Tim Harford,The Logic of Life,"In cities where men are rich, women are plentiful."
438,Tim Harford,The Logic of Life,Rich men are turn-on and rich women are turn-off. From online dating data
439,Tim Harford,The Logic of Life,"I large cities women outnumber men 9 to 8. In New York age 20 - 34 there are 860,000 men and 910,000 women. Sex and the city effect. "
440,Tim Harford,The Logic of Life,Single women would rather compete with others for rich men than relocate.
441,Tim Harford,The Logic of Life,A lot of the unskilled labor in the cities is takenby women (Waitresses secretaries etc.). While men take skilled labor in the countryside.
442,Tim Harford,The Logic of Life,No-fault divorce reduced domestic violence by 30 % in the United States.
443,Tim Harford,The Logic of Life,"People living in high-rise buildings are much more likely to be the victim of a crime, and fear crime more than people living in low rises. The eyes on the street mentality."
444,Tim Harford,The Logic of Life,"By delaying the birth of a child by one year, a woman increases her lifetime earnings by 10%."
445,Nathaniel Popper,Digital Gold,"Attributes of good money:
Portable
Durable
Divisible
Uniform

"
446,Nathaniel Popper,Digital Gold,Portable
447,Nathaniel Popper,Digital Gold,Durable
448,Nathaniel Popper,Digital Gold,Divisible
449,Nathaniel Popper,Digital Gold,Uniform
450,Nathaniel Popper,Digital Gold,The word Money comes from the Roman god Juno Moneta. In her temple coins were minted.
451,Daron Acemoglu and James A. Robinson,"The Narrow Corridor: States, societies and the fate of liberty","""Constitutions should be short and obscure."" - Charles-Maurice Talleyrand"
452,Daron Acemoglu and James A. Robinson,"The Narrow Corridor: States, societies and the fate of liberty",Article 15 of all 6 Congolese consitutions 'Debroaillez-cous' (Fend for yourself).
453,Daron Acemoglu and James A. Robinson,"The Narrow Corridor: States, societies and the fate of liberty",Liberty is the absence of dominance.
454,Daron Acemoglu and James A. Robinson,"The Narrow Corridor: States, societies and the fate of liberty","Norway has a homicide rate of 0.5 per 100,000, 10 times less than in the US."
455,Daron Acemoglu and James A. Robinson,"The Narrow Corridor: States, societies and the fate of liberty","De rigeur: Required/necessary according to etiquette, protocol, or fashion."
456,Daron Acemoglu and James A. Robinson,"The Narrow Corridor: States, societies and the fate of liberty",During the great leap forward communist party communalized kitchens so that anyone disobedient was denied food.
457,Daron Acemoglu and James A. Robinson,"The Narrow Corridor: States, societies and the fate of liberty",""" If a chicken separates itself from the rest, a hawk will get it."" - Asanti Proverb"
458,Daron Acemoglu and James A. Robinson,"The Narrow Corridor: States, societies and the fate of liberty","Draconian: From greek (Athens) ruler Draco, known for laws whose punishment often was death."
459,Daron Acemoglu and James A. Robinson,"The Narrow Corridor: States, societies and the fate of liberty",There is a red queen effect between society and the leviathan (State).
460,Daron Acemoglu and James A. Robinson,"The Narrow Corridor: States, societies and the fate of liberty","The society and the state or not the same, nor will it ever be, they are competitors."
461,Daron Acemoglu and James A. Robinson,"The Narrow Corridor: States, societies and the fate of liberty",Superstitions about witchcraft were a mechanism to control influential/powerful actors from getting too powerful and becoming despots.
462,Daron Acemoglu and James A. Robinson,"The Narrow Corridor: States, societies and the fate of liberty",Fare from restitution is a more likely case for giving/sharing customs than altruism. This implies you do not have secure property rights.
463,Daron Acemoglu and James A. Robinson,"The Narrow Corridor: States, societies and the fate of liberty",Laffer curve: Normal distributed relationship between taxation and tax income. 
464,Daron Acemoglu and James A. Robinson,"The Narrow Corridor: States, societies and the fate of liberty","The four towns in the county of Champagne: Bur-sur-Aube, Langy, Provins and Troyes."
465,Dambisa Moyo,Edge of Chaos,"Most of those who quit the Navy Seals training did so during breakfast or lunch. They quit because they feared they would fail.
The third best indicator of success in the Navy Seal training was being on the water polo team. The second best was being on the wrestling team, but the top indicator was a high school level of expertise in chess."
466,Dambisa Moyo,Edge of Chaos,Myopia: Short-sightedness
467,David Deutch,Begining of Infinity,Transmutations: Changing a chemical element into another (Hydrogen -> Helium)
468,David Deutch,Begining of Infinity,Modern telescopes can see more galaxies than there are stars in our own galaxy.
469,David Deutch,Begining of Infinity,The competitive aspect of nature is self-evident from a first principles point.
470,David Deutch,Begining of Infinity,"No man ever steps into the same river twice, for it is not the same river and he is not the same man."
